name,net_worth,bday,age,nationality,gender
Elon Musk,$240 Billion,28-Jun-71,51,South Africa,M
Jeff Bezos,$150 Billion,12-Jan-64,58,United States of America,M
Gautam Adani,$138 Billion,24-Jun-62,60,India,M
Bernard Arnault,$135 Billion,05-Mar-49,73,France,M
Bill Gates,$118 Billion,28-Oct-55,66,United States of America,M
Warren Buffett,$101 Billion,30-Aug-30,92,United States of America,M
Larry Page,$100 Billion,26-Mar-73,49,United States of America,M
Sergey Brin,$96 Billion,21-Aug-73,48,United States of America,M
Steve Ballmer,$94 Billion,24-Mar-56,66,United States of America,M
Larry Ellison,$93 Billion,17-Aug-44,78,United States of America,M
 Gerard Wertheimer,$90 Billion,,,France,M
Mukesh Ambani,$89 Billion,19-Apr-57,65,India,M
Carlos Slim Helu,$72 Billion,28-Jan-40,82,Mexico,M
Vladimir Putin,$70 Billion,07-Oct-52,69,Russia,M
Françoise Bettencourt-Meyers,$70 Billion,10-Jul-53,69,France,F
Amancio Ortega Gaona,$70 Billion,28-Mar-36,86,Spain,M
Michael Bloomberg,$70 Billion,14-Feb-42,80,United States of America,M
Mark Zuckerberg,$70 Billion,14-May-84,38,United States of America,M
Rob Walton,$68 Billion,28-Oct-44,77,United States of America,M
Jim Walton,$68 Billion,07-Jun-48,74,United States of America,M
Zhong Shanshan,$68 Billion,,,China,M
Alice Walton,$66 Billion,07-Oct-49,72,United States of America,F
Julia Flesher Koch,$62 Billion,12-Apr-62,60,United States of America,F
Charles Koch,$60 Billion,01-Nov-35,86,United States of America,M
Michael Dell,$52 Billion,23-Feb-65,57,United States of America,M
Francois Pinault,$50 Billion,21-Aug-36,86,France,M
David Thomson,$50 Billion,12-Jun-57,65,Canada,M
Ma Huateng,$48 Billion,29-Oct-71,50,China,M
Alain Wertheimer,$45 Billion,28-Sep-48,73,France,M
Gerard Wertheimer,$45 Billion,17-Apr-51,71,French,M
Zhang Yiming,$44 Billion,01-Apr-83,39,China,M
Tadashi Yanai,$42 Billion,07-Feb-49,73,Japan,M
John Mars,$42 Billion,15-Oct-35,86,United States of America,M
Jacqueline Mars,$42 Billion,10-Oct-39,82,United States of America,F
Phil Knight,$40 Billion,24-Feb-38,84,United States of America,M
Vladimir Potanin,$35 Billion,03-Jan-61,61,Russia,M
Stephen Schwarzman,$35 Billion,14-Feb-47,75,United States of America,M
Jack Ma,$34 Billion,15-Oct-64,57,China,M
Miriam Adelson,$34 Billion,10-Oct-45,76,"American, Israeli",F
Colin Huang,$33 Billion,01-Jan-80,42,China,M
Lee Shau Kee,$33 Billion,29-Jan-28,94,China,M
Len Blavatnik,$32 Billion,14-Jun-57,65,United Kingdom,M
Li Ka-shing,$31 Billion,29-Jul-28,94,Canada,M
Gina Rinehart,$31 Billion,09-Feb-54,68,Australia,F
Sheikh Mansour bin Zayed Al Nahyan,$30 Billion,20-Nov-70,51,Emirati,M
Masayoshi Son,$30 Billion,11-Aug-57,65,Japan,M
Sultan of Brunei,$30 Billion,15-Jul-46,76,Brunei,M
Maha Vajiralongkorn,$30 Billion,28-Jul-52,70,Thailand,M
Giovanni Ferrero,$28 Billion,21-Sep-64,57,Italy,M
Ken Griffin,$28 Billion,15-Oct-68,53,United States of America,M
Abigail Johnson,$28 Billion,19-Dec-61,60,United States of America,F
He Xiangjian,$27 Billion,05-Oct-42,79,China,M
Dieter Schwarz,$27 Billion,24-Sep-39,82,Germany,M
William Ding,$26 Billion,01-Oct-71,50,China,M
Shiv Nadar,$25.9 Billion,14-Jul-45,77,India,M
Stefan Persson,$25 Billion,04-Oct-47,74,Sweden,M
Joseph Safra,$25 Billion,01-Sep-38,,Brazil,M
Eric Yuan,$25 Billion,20-Feb-70,52,China,M
Carl Icahn,$24 Billion,16-Feb-36,86,Mexico,M
Takemitsu Takizaki,$24 Billion,10-Jun-45,77,Mexico,M
Pierre Omidyar,$24 Billion,21-Jun-67,55,United States of America,M
Forrest Mars Jr,$23.4 Billion,16-Aug-31,91,United States of America,M
Jorge Paulo Lemann,$23 Billion,26-Aug-39,83,Brazil,M
Eric Schmidt,$23 Billion,27-Apr-55,67,United States of America,M
Satoshi Nakamoto,$22 Billion,05-Apr-75,73,Japan,M
Qin Yinglin,$22 Billion,,57,China,M
James Simons,$22 Billion,25-Apr-38,84,United States of America,M
Wang Wei,$22 Billion,,51,China,M
James Dyson,$22 Billion,02-May-47,75,United Kingdom,M
Aliko Dangote,$21 Billion,10-Apr-57,65,Nigeria,M
Leonard Lauder,$21 Billion,19-Mar-33,89,United States of America,M
Andrey Melnichenko,$21 Billion,08-Mar-72,50,Russia,M
Sir Evelyn De Rothschild,$20 Billion,29-Aug-31,90,England,M
Salman bin Abdulaziz Al Saud,$20 Billion,31-Dec-35,86,Saudi Arabia,M
Alexey Mordashov,$20 Billion,26-Sep-65,56,Russia,M
John Menard,$20 Billion,22-Jan-40,82,United States of America,M
Elaine Marshall,$20 Billion,18-Nov-45,76,United States of America,M
Rupert Murdoch,$20 Billion,11-Mar-31,91,Australia,M
Dan Gilbert,$20 Billion,17-Jan-62,60,United States of America,M
Leonid Mikhelson,$20 Billion,11-Aug-55,67,Russia,M
Pallonji Mistry,$19 Billion,01-Jun-29,,India,M
Susanne Klatten,$19 Billion,28-Apr-62,60,Germany,F
Eduardo Saverin,$19 Billion,19-Mar-82,40,Brazil,M
Vladimir Lisin,$19 Billion,07-May-56,66,Russia,M
James Ratcliffe,$19 Billion,18-Oct-52,69,United Kingdom,M
Laurene Powell Jobs,$19 Billion,06-Nov-63,58,United States of America,F
Lakshmi Mittal,$18 Billion,02-Sep-50,71,India,F
David & Simon Reuben,$18 Billion,,,United Kingdom,M
Sheikh Khalifa Bin Zayed Al Nahyan,$18 Billion,25-Jan-48,74,United Arab Emirates,M
Alisher Usmanov,$18 Billion,09-Sep-53,68,Russia,M
Lukas Walton,$18 Billion,,36,United States of America,M
Serge Dassault,$17.3 Billion,04-Apr-25,97,France,M
Pavel Durov,$17 Billion,10-Oct-84,37,Russia,M
Donald Bren,$17 Billion,11-May-32,90,United States of America,M
Thomas Peterffy,$17 Billion,30-Sep-44,77,United States of America,M
Prince Al Waleed Bin Talal Alsaud,$17 Billion,07-Mar-55,67,Saudi Arabia,M
Harold Hamm,$17 Billion,11-Dec-45,76,United States of America,M
Viktor Vekselberg,$17 Billion,14-Apr-57,65,Russia,M
Steven Cohen,$16 Billion,11-Jun-56,66,United States of America,M
Stefan Quandt,$16 Billion,09-May-66,56,Germany,M
